Australian Business Number (ABN),Legal entity name,Service provider name,Legal entity postcode,Legal entity suburb/locality,Legal entity LGA,Service delivery postcode,Service delivery suburb/locality,Service delivery LGA,Longitude,Latitude,Funding agency,Program title,Sub-program title,Statewide,Purpose,Category1,Recipient type,Client group1,Assistance type1,Business specific activity,Funding source,Funding use,Financial year expenditure,Funding agreement duration,Funding agreement start,Funding agreement end,Total expenditure under this agreement to date,Total expenditure under this agreement notes
22009943435,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,Aboriginal and Torres Strait Islander Community Health Service (ATSICHS) CYRD Brisbane South & CBD,4102,WOOLLOONGABBA,Brisbane (C),4108,Coopers Plains,Brisbane (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,750183,Multi-year,1/04/2024,30/06/2028,187546,
22009943435,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,Aboriginal and Torres Strait Islander Community Health Service (ATSICHS) CYRD Logan,4102,WOOLLOONGABBA,Brisbane (C),4108,Coopers Plains,Brisbane (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,163996,Multi-year,1/01/2024,30/06/2028,163996,
22009943435,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,Aboriginal and Torres Strait Islander Community Health Service CYRD Logan,4102,WOOLLOONGABBA,Brisbane (C),4108,Coopers Plains,Brisbane (C),,,DYJ,Community Youth Response and Diversion,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,163996,1 year or less,1/07/2023,31/12/2023,163996,
22009943435,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,ATSICHS - YJ Family Led Decision Making Program,4102,WOOLLOONGABBA,Brisbane (C),4102,Woolloongabba,Brisbane (C),,,DYJ,YJ Family Led Decision Making,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,295551,Multi-year,1/10/2022,30/06/2026,518987,
41496913890,Bravehearts Foundation Limited,Bravehearts - Restorative Justice Conferencing Support Service,4214,Arundel,Gold Coast (C),1111,Multiple,Multiple,,,DYJ,Specialist Counselling Service,,Yes,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,567716,Multi-year,1/12/2021,31/12/2026,1406174,
45402866190,Bridges Health & Community Care Ltd,Bridge's U18 Bail Support Service,4670,BUNDABERG,Bundaberg (R),4670,Bundaberg Central,Bundaberg (R),,,DYJ,Bail Support Program,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,284571,Multi-year,1/07/2021,30/06/2025,809634,
60110812489,Central Queensland Indigenous Development Ltd,CQID Intensive Family Partnership Fraser Coast,4701,NORTH ROCKHAMPTON,Rockhampton (R),4670,Branyan,Bundaberg (R),,,DYJ,Family Responses,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,300000,1 year or less,1/09/2023,31/08/2024,300000,
46156661273,Civic Assist,Civic Assist Youth Outreach (QYPI),4350,Toowoomba,Toowoomba (R),4350,Toowoomba City,Toowoomba (R),,,DYJ,Qld Youth Partnership Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,100000,1 year or less,1/07/2023,31/12/2023,50000,
62614085344,Community Sports Mentoring & Coaching Ltd,Big Bounce Initiative,4113,EIGHT MILE PLAINS,Brisbane (C),4152,Carina,Brisbane (C),,,DYJ,Diversion - Sport,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,1000000,Multi-year,1/08/2023,30/06/2025,1000000,
55066537031,Darumbal Community Youth Service Inc,Darumbal QYPI Rockhampton (Stocklands),4700,Rockhampton,Rockhampton (R),4700,Rockhampton City,Rockhampton (R),,,DYJ,Qld Youth Partnership Initiative,,No,Young people aged 10-17 years who are in or at risk of entering the youth justice system,Youth,Community group/not for profit,Children under 16 years,Frontline service procurement,,Queensland Government,Operational,67591,1 year or less,1/07/2023,31/03/2024,50693,
