ID,Name,Description,Organization,Organization_Type,Address,Suburb,City,State,Postcode,Phone,Email,Website,Categories,Youth_Specific,Indigenous_Specific,Data_Source,Status,Latitude,Longitude
ffa187e4-0311-4656-889c-bbfe95d77464,"Sydney Family Violence Service","Professional parenting assistance available to young people in the Sydney and surrounding areas region.","Sydney Mission Australia",government,"518 Bourke St",Sydney,Sydney,NSW,2000,(02) 9430 8828,support@sydneymissionaustral.gov.au,https://www.sydneymissionaustral.gov.au,"parenting",true,false,Data.VIC,active,-33.86353046278843,151.20558336407885
08c5c2ed-e106-4c51-b935-ab68201cc6ce,"Sydney Crisis Support Service","Dedicated education support services designed for young people living in Sydney and surrounding areas.","Sydney Community Centre",university,"769 Church St",Sydney,Sydney,NSW,2000,(02) 1648 7879,support@sydneycommunitycentr.org.au,https://www.sydneycommunitycentr.org.au,"education_support",true,false,Data.NSW,active,-33.874618045536764,151.2025881109928
0794fe20-bd29-486d-b67a-ed97e664a79a,"Sydney Emergency Relief Centre","Comprehensive education support support for young people throughout Sydney and surrounding areas.","Sydney YMCA",charity,"287 Main St",Sydney,Sydney,NSW,2000,(02) 1543 1477,info@sydneyymca.com.au,https://www.sydneyymca.com.au,"education_support, apprenticeships, medical",true,false,Data.ACT,active,-33.87557768436912,151.20462784222957
964c5a21-c3a8-42b8-8c7b-86385eb35cee,"Sydney Youth Counselling Service","Community-based domestic violence program serving young people across Sydney and surrounding areas.","Beyond Blue Sydney",school,"105 Queen St",Sydney,Sydney,NSW,2000,(02) 3403 4988,help@beyondbluesydney.gov.au,https://www.beyondbluesydney.gov.au,"domestic_violence",true,false,Data.QLD,active,-33.876965600389944,151.20358406216482
74a8d091-a25b-4cfd-adab-6d739399afc2,"Sydney Drug & Alcohol Support","Dedicated arts culture services designed for community members living in Sydney and surrounding areas.","Sydney Youth Services",commercial,"931 Collins St",Sydney,Sydney,NSW,2000,(02) 5507 0116,help@sydneyyouthservices.org.au,https://www.sydneyyouthservices.org.au,"arts_culture, health_services",false,false,Ask Izzy,active,-33.866824336104834,151.2105172522976
bf57758b-acea-491d-a9da-8ba1c3c1c429,"Sydney Youth Arts Program","Comprehensive literacy support for young people throughout Sydney and surrounding areas.","Lifeline Sydney",government,"325 High St",Sydney,Sydney,NSW,2000,(02) 6711 8874,services@lifelinesydney.org.au,https://www.lifelinesydney.com.au,"literacy, emergency_relief, multicultural",true,false,Data.NSW,active,-33.87512997492997,151.19945535786604
843548de-ef97-47fa-809b-7e67cbb31b6c,"Sydney Educational Support Centre","Providing legal aid services to community members in Sydney and surrounding areas.","Sydney Neighbourhood Centre",community,"778 Church St",Sydney,Sydney,NSW,2000,(02) 7688 2077,contact@sydneyneighbourhoodc.com.au,https://www.sydneyneighbourhoodc.gov.au,"legal_aid, financial_assistance, victim_support",false,false,Data.QLD,active,-33.872032402870815,151.20341047196126
d90c3fd9-b7df-4f48-ac4b-976c90b74a6f,"Sydney Homeless Youth Outreach","Community-based drug alcohol program serving young people across Sydney and surrounding areas.","Sydney Youth Services",community,"708 Collins St",Sydney,Sydney,NSW,2000,(02) 4007 1647,services@sydneyyouthservices.org.au,https://www.sydneyyouthservices.gov.au,"drug_alcohol, vocational_education",true,true,Adelaide Council,active,-33.8690134697875,151.20507525274843
d487b76e-e61e-4273-9fab-2d37f5b3b45b,"Sydney Youth Legal Service","Dedicated volunteer programs services designed for young people living in Sydney and surrounding areas.","Sydney YMCA",hospital,"178 George St",Sydney,Sydney,NSW,2000,(02) 2668 7794,help@sydneyymca.org.au,https://www.sydneyymca.com.au,"volunteer_programs",true,false,Data.ACT,active,-33.870596700762356,151.2062706606418
f7c68612-3ac8-4593-b1c2-b6421da3879a,"Sydney Multicultural Youth Services","Community-based family support program serving young people across Sydney and surrounding areas.","Beyond Blue Sydney",hospital,"553 King St",Sydney,Sydney,NSW,2000,(02) 5062 5267,info@beyondbluesydney.gov.au,https://www.beyondbluesydney.com.au,"family_support",true,false,Data.VIC,active,-33.868060896291055,151.20786621165854
1b86ff27-18bf-40a6-9211-7b667c65a4cf,"Sydney Community Mental Health","Dedicated literacy services designed for community members living in Sydney and surrounding areas.","Sydney Community Centre",community,"669 Collins St",Sydney,Sydney,NSW,2000,(02) 6751 2252,support@sydneycommunitycentr.org.au,https://www.sydneycommunitycentr.org.au,"literacy",false,false,Data.VIC,active,-33.87314500915791,151.20542682049071
baa6ce45-a1b7-4be2-bf7a-87c649bcecc0,"Sydney Family Violence Service 99","Comprehensive indigenous services support for community members throughout Sydney and surrounding areas.","Sydney Family Services",indigenous,"853 High St",Sydney,Sydney,NSW,2000,(02) 3398 2429,support@sydneyfamilyservices.org.au,https://www.sydneyfamilyservices.org.au,"indigenous_services, apprenticeships",false,true,Brisbane Council,active,-33.8717643101072,151.2064050712071
cc4d1b66-fed4-46d0-bcf6-880312ff6345,"Sydney Youth Counselling Service 79","Providing centrelink services to young people in Sydney and surrounding areas.","Sydney Youth Services",indigenous,"911 George St",Sydney,Sydney,NSW,2000,(02) 2794 6411,support@sydneyyouthservices.gov.au,https://www.sydneyyouthservices.gov.au,"centrelink, sports_recreation, job_placement",true,false,Data.VIC,active,-33.86338698051211,151.2169863150802
56d34d6a-b386-4e99-b3ae-a4d24cc1c134,"Sydney Drug & Alcohol Support 75","Professional drug alcohol assistance available to young people in the Sydney and surrounding areas region.","Beyond Blue Sydney",hospital,"333 Bourke St",Sydney,Sydney,NSW,2000,(02) 6806 6075,info@beyondbluesydney.org.au,https://www.beyondbluesydney.com.au,"drug_alcohol, volunteer_programs",true,false,Find & Connect,active,-33.86533951771238,151.2057217869133
3f082872-7e81-45ff-9073-4399fa186f19,"Sydney Youth Development Program","Providing drug alcohol services to young people in Sydney and surrounding areas.","Sydney Mission Australia",university,"841 Queen St",Sydney,Sydney,NSW,2000,(02) 2025 1654,support@sydneymissionaustral.gov.au,https://www.sydneymissionaustral.com.au,"drug_alcohol",true,false,Data.ACT,active,-33.876816046577005,151.20430829142052
d48e9544-b33c-401d-9cf1-7a502e6e6310,"Melbourne Youth Justice Support","Community-based family support program serving young people across Melbourne and surrounding areas.","Melbourne Youth Services",government,"284 Main St",Melbourne,Melbourne,VIC,3000,(03) 7352 2429,info@melbourneyouthservic.gov.au,https://www.melbourneyouthservic.gov.au,"family_support, suicide_prevention",true,false,Brisbane Council,active,-37.821718389740184,144.95509412457363
f6b42162-c61e-40af-8ac7-685c73a70e08,"Melbourne Youth Mentoring Program","Professional career guidance assistance available to young people in the Melbourne and surrounding areas region.","Melbourne Youth Services",non_profit,"424 Church St",Melbourne,Melbourne,VIC,3000,(03) 8034 2586,support@melbourneyouthservic.gov.au,https://www.melbourneyouthservic.gov.au,"career_guidance, medical, drug_alcohol",true,true,Australian Charities Register,active,-37.81408392244729,144.96260185018556
e725b47f-1b1c-4a15-bd00-aa64e25a646c,"Melbourne Community Mental Health","Professional leadership assistance available to young people in the Melbourne and surrounding areas region.","Melbourne Community Centre",commercial,"425 King St",Melbourne,Melbourne,VIC,3000,(03) 4191 2907,contact@melbournecommunityce.com.au,https://www.melbournecommunityce.com.au,"leadership, vocational_education",true,false,Data.SA,active,-37.80689194343617,144.97066122987292
5f6a1240-7510-45fc-aaee-8fd498627694,"Melbourne Community Legal Centre","Comprehensive training support for young people throughout Melbourne and surrounding areas.","Beyond Blue Melbourne",community,"362 Main St",Melbourne,Melbourne,VIC,3000,(03) 6307 3576,contact@beyondbluemelbourne.org.au,https://www.beyondbluemelbourne.org.au,"training, sports_recreation, court_support",true,false,Data.VIC,active,-37.81876843360527,144.96626264962424
5edd5bb3-0a9b-4656-a20b-0c4ac54a7149,"Melbourne Educational Support Centre","Community-based community development program serving young people across Melbourne and surrounding areas.","Melbourne Mission Australia",commercial,"977 George St",Melbourne,Melbourne,VIC,3000,(03) 5207 3212,services@melbournemissionaust.org.au,https://www.melbournemissionaust.org.au,"community_development, transitional_housing, job_placement",true,false,Perth Council,active,-37.82149727845157,144.96666981272227
b22c4b16-4810-4bbf-9ed5-cbcf201231d9,"Melbourne Multicultural Youth Services","Comprehensive drug alcohol support for young people throughout Melbourne and surrounding areas.","Beyond Blue Melbourne",university,"249 Queen St",Melbourne,Melbourne,VIC,3000,(03) 9421 0342,support@beyondbluemelbourne.org.au,https://www.beyondbluemelbourne.gov.au,"drug_alcohol",true,false,List Tasmania,active,-37.81624921709065,144.96966333466372
9bbf3fdd-ce7e-438b-9a3f-120c370a42de,"Melbourne Family Violence Service","Professional literacy assistance available to young people in the Melbourne and surrounding areas region.","Melbourne Neighbourhood Centre",community,"577 Bourke St",Melbourne,Melbourne,VIC,3000,(03) 9344 3798,support@melbourneneighbourho.com.au,https://www.melbourneneighbourho.org.au,"literacy, family_mediation, homelessness",true,true,Data.WA,active,-37.80783152437771,144.96416281490693
82cec2df-33d6-498b-aa9e-ff610f56a912,"Melbourne Youth Justice Support 2","Professional mentoring assistance available to young people in the Melbourne and surrounding areas region.","Melbourne Family Services",school,"169 High St",Melbourne,Melbourne,VIC,3000,(03) 2620 5084,support@melbournefamilyservi.gov.au,https://www.melbournefamilyservi.org.au,"mentoring, centrelink",true,false,Data.gov.au,active,-37.82147345504397,144.96164088325057
4b3d394b-7fb7-4fd9-a4b0-d870c6644772,"Melbourne Community Legal Centre 54","Comprehensive refugee services support for community members throughout Melbourne and surrounding areas.","Melbourne Health Service",school,"812 Queen St",Melbourne,Melbourne,VIC,3000,(03) 6324 3759,contact@melbournehealthservi.com.au,https://www.melbournehealthservi.com.au,"refugee_services, cultural_support",false,true,Adelaide Council,active,-37.8173324885467,144.9680164701896
e8acf645-3df5-47f6-8782-320af407d31e,"Melbourne Educational Support Centre 41","Community-based health services program serving community members across Melbourne and surrounding areas.","Melbourne Youth Services",university,"418 King St",Melbourne,Melbourne,VIC,3000,(03) 1809 7747,contact@melbourneyouthservic.com.au,https://www.melbourneyouthservic.com.au,"health_services, centrelink",false,false,Data.gov.au,active,-37.81931081076303,144.95784645350483
