ID,Name,Description,Organization,Organization_Type,Address,City,Postcode,Region,Phone,Email,Categories,Keywords,Min_Age,Max_Age,Youth_Specific,Indigenous_Specific,Data_Source,Status
e54877ab-0f27-4280-baa3-96b0b76fcaf3,"ATSILS Youth Legal Service - Brisbane","Free culturally appropriate legal services for Aboriginal and Torres Strait Islander young people. Services include:
- Criminal law representation in Children's Court
- Bail applications and support
-","Aboriginal and Torres Strait Islander Legal Service",non_profit,"37 Herschel Street",Brisbane,4000,brisbane,[object Object],,"legal_aid, court_support, advocacy, cultural_support","aboriginal, torres strait islander, indigenous, legal, court, cultural, youth",,,false,true,aboriginal_torres_strait,active
56089fea-e9dc-4215-bd09-a3e2f01b4021,"ATSILS Youth Legal Service - Cairns","Culturally appropriate legal support for Aboriginal and Torres Strait Islander youth in Far North Queensland. Services include court representation, bail support, and connection to cultural programs.","Aboriginal and Torres Strait Islander Legal Service",non_profit,"104 Grafton Street",Cairns,4870,cairns,[object Object],,"legal_aid, court_support, cultural_support","aboriginal, torres strait islander, legal, cairns, youth",,,false,true,aboriginal_torres_strait,active
abc22ff8-8e88-4903-a2a4-8103255b3b55,"ATSILS Youth Legal Service - Townsville","Free legal services for Aboriginal and Torres Strait Islander young people in North Queensland. Includes criminal law, child protection, and cultural support services.","Aboriginal and Torres Strait Islander Legal Service",non_profit,"137 Flinders Street",Townsville,4810,townsville,[object Object],,"legal_aid, court_support, cultural_support","aboriginal, torres strait islander, legal, townsville, youth",,,false,true,aboriginal_torres_strait,active
56cb151f-e3b7-4486-84d3-42b231bd492b,"Aboriginal & Torres Strait Islander Youth Health Service","Holistic health and wellbeing services for Aboriginal and Torres Strait Islander young people. Services include:
- Youth health checks and immunizations
- Mental health and social emotional wellbeing ","Aboriginal and Torres Strait Islander Community Health Service Brisbane",health,"55 Annerley Road",Woolloongabba,4102,brisbane,[object Object],,"mental_health, substance_abuse, health, cultural_support","aboriginal, torres strait islander, health, youth, mental health, cultural",,,true,true,aboriginal_torres_strait,active
daf88bf5-1882-48b4-a83b-065566358fe6,"Murri Youth Diversion Program - Logan","Culturally appropriate diversion program for Aboriginal and Torres Strait Islander young people. Services include:
- Pre and post court support
- Cultural mentoring and activities
- Connection to Elde","Murri Youth Services",non_profit,"381 Kingston Road",Slacks Creek,4127,brisbane,[object Object],,"diversion, cultural_support, case_management, mentoring","murri, aboriginal, diversion, cultural, youth, logan",,,true,true,aboriginal_torres_strait,active
d70aa911-69e6-4aa8-bf8b-6f897b08e1f8,"Murri Youth Homelessness Service","Specialist homelessness support for Aboriginal and Torres Strait Islander young people aged 12-21. Services include:
- Emergency accommodation
- Transitional housing support
- Case management
- Cultur","Murri Youth Services",non_profit,"655 Kingston Road",Loganlea,4131,brisbane,[object Object],,"housing, case_management, cultural_support","murri, aboriginal, homeless, housing, youth, accommodation",,,true,true,aboriginal_torres_strait,active
7406450e-33d0-4fdc-9bbd-bd625e3d35f3,"Strong Young Mums Program","Support program for young Aboriginal and Torres Strait Islander mothers aged 14-25. Services include:
- Antenatal and postnatal care
- Parenting support and education
- Baby health checks
- Breastfeed","Aboriginal and Torres Strait Islander Community Health Service Brisbane",health,"55 Annerley Road",Woolloongabba,4102,brisbane,[object Object],,"family_support, health, cultural_support","aboriginal, torres strait islander, young mothers, parenting, health",,,true,true,aboriginal_torres_strait,active
f0bab27c-ae4b-448b-b4fa-403938604987,"1800RESPECT - Youth Sexual Assault and Family Violence Support","24/7 national sexual assault, domestic and family violence counselling service with specialist youth support. Services include:
- Crisis counselling for sexual assault
- Domestic and family violence s","1800RESPECT",government,"National Phone Service",Queensland,4000,statewide,[object Object],,"crisis_support, family_support, mental_health","sexual assault, family violence, domestic violence, crisis, abuse, counselling",,,false,false,crisis_support,active
5723f200-1816-417e-bfed-105b06d29c67,"Brisbane Youth Service - Crisis Accommodation","Emergency and crisis accommodation for young people aged 12-25 who are homeless or at risk. Services include:
- 24/7 crisis accommodation
- Emergency beds (up to 3 nights)
- Medium-term accommodation ","Brisbane Youth Service",non_profit,"42 McLachlan Street",Fortitude Valley,4006,brisbane,[object Object],,"housing, crisis_support, case_management","homeless, crisis, accommodation, emergency, housing, shelter",,,true,false,crisis_support,active
c381a9d3-eccf-4d51-b973-282a98e92eaa,"Brisbane Youth Service - Mobile Support Team","Outreach service finding and supporting young people experiencing homelessness. Services include:
- Street outreach in Brisbane CBD and surrounds
- Mobile support across greater Brisbane
- Emergency r","Brisbane Youth Service",non_profit,"Mobile Service",Brisbane,4000,brisbane,[object Object],,"crisis_support, housing, outreach","outreach, mobile, homeless, street, crisis, emergency",,,true,false,crisis_support,active
