ID,Name,Description,Organization,Organization_Type,Address,Suburb,City,State,Postcode,Phone,Email,Website,Categories,Youth_Specific,Indigenous_Specific,Data_Source,Status
ffa187e4-0311-4656-889c-bbfe95d77464,"Sydney Family Violence Service","Professional parenting assistance available to young people in the Sydney and surrounding areas region.","Sydney Mission Australia",government,"518 Bourke St",Sydney,Sydney,NSW,2000,(02) 9430 8828,support@sydneymissionaustral.gov.au,https://www.sydneymissionaustral.gov.au,"parenting",true,false,Data.VIC,active
08c5c2ed-e106-4c51-b935-ab68201cc6ce,"Sydney Crisis Support Service","Dedicated education support services designed for young people living in Sydney and surrounding areas.","Sydney Community Centre",university,"769 Church St",Sydney,Sydney,NSW,2000,(02) 1648 7879,support@sydneycommunitycentr.org.au,https://www.sydneycommunitycentr.org.au,"education_support",true,false,Data.NSW,active
0794fe20-bd29-486d-b67a-ed97e664a79a,"Sydney Emergency Relief Centre","Comprehensive education support support for young people throughout Sydney and surrounding areas.","Sydney YMCA",charity,"287 Main St",Sydney,Sydney,NSW,2000,(02) 1543 1477,info@sydneyymca.com.au,https://www.sydneyymca.com.au,"education_support, apprenticeships, medical",true,false,Data.ACT,active
964c5a21-c3a8-42b8-8c7b-86385eb35cee,"Sydney Youth Counselling Service","Community-based domestic violence program serving young people across Sydney and surrounding areas.","Beyond Blue Sydney",school,"105 Queen St",Sydney,Sydney,NSW,2000,(02) 3403 4988,help@beyondbluesydney.gov.au,https://www.beyondbluesydney.gov.au,"domestic_violence",true,false,Data.QLD,active
74a8d091-a25b-4cfd-adab-6d739399afc2,"Sydney Drug & Alcohol Support","Dedicated arts culture services designed for community members living in Sydney and surrounding areas.","Sydney Youth Services",commercial,"931 Collins St",Sydney,Sydney,NSW,2000,(02) 5507 0116,help@sydneyyouthservices.org.au,https://www.sydneyyouthservices.org.au,"arts_culture, health_services",false,false,Ask Izzy,active
bf57758b-acea-491d-a9da-8ba1c3c1c429,"Sydney Youth Arts Program","Comprehensive literacy support for young people throughout Sydney and surrounding areas.","Lifeline Sydney",government,"325 High St",Sydney,Sydney,NSW,2000,(02) 6711 8874,services@lifelinesydney.org.au,https://www.lifelinesydney.com.au,"literacy, emergency_relief, multicultural",true,false,Data.NSW,active
843548de-ef97-47fa-809b-7e67cbb31b6c,"Sydney Educational Support Centre","Providing legal aid services to community members in Sydney and surrounding areas.","Sydney Neighbourhood Centre",community,"778 Church St",Sydney,Sydney,NSW,2000,(02) 7688 2077,contact@sydneyneighbourhoodc.com.au,https://www.sydneyneighbourhoodc.gov.au,"legal_aid, financial_assistance, victim_support",false,false,Data.QLD,active
d90c3fd9-b7df-4f48-ac4b-976c90b74a6f,"Sydney Homeless Youth Outreach","Community-based drug alcohol program serving young people across Sydney and surrounding areas.","Sydney Youth Services",community,"708 Collins St",Sydney,Sydney,NSW,2000,(02) 4007 1647,services@sydneyyouthservices.org.au,https://www.sydneyyouthservices.gov.au,"drug_alcohol, vocational_education",true,true,Adelaide Council,active
d487b76e-e61e-4273-9fab-2d37f5b3b45b,"Sydney Youth Legal Service","Dedicated volunteer programs services designed for young people living in Sydney and surrounding areas.","Sydney YMCA",hospital,"178 George St",Sydney,Sydney,NSW,2000,(02) 2668 7794,help@sydneyymca.org.au,https://www.sydneyymca.com.au,"volunteer_programs",true,false,Data.ACT,active
f7c68612-3ac8-4593-b1c2-b6421da3879a,"Sydney Multicultural Youth Services","Community-based family support program serving young people across Sydney and surrounding areas.","Beyond Blue Sydney",hospital,"553 King St",Sydney,Sydney,NSW,2000,(02) 5062 5267,info@beyondbluesydney.gov.au,https://www.beyondbluesydney.com.au,"family_support",true,false,Data.VIC,active
1b86ff27-18bf-40a6-9211-7b667c65a4cf,"Sydney Community Mental Health","Dedicated literacy services designed for community members living in Sydney and surrounding areas.","Sydney Community Centre",community,"669 Collins St",Sydney,Sydney,NSW,2000,(02) 6751 2252,support@sydneycommunitycentr.org.au,https://www.sydneycommunitycentr.org.au,"literacy",false,false,Data.VIC,active
